thisRow.t,notes,subid,session,run,trial.system.time,trial.number,trial.type,Tgt.OnsetTime,trial.rt,trial.target_dur,trial.reward,Fix_after_target.OnsetTime,Fix_ITI.OnsetTime,Fix_ITI.Duration,time.trial,time.global,Winnings,participant,session,fMRI? (yes or no),fMRI trigger on TTL? (yes or no),fMRI reverse screen? (yes or no),start run (0-2),task screen,handedness,date,expName,frameRate,
,,4567,1,0,Thu Jan  8 12:19:10 2026,1,reward.low,5.014088040916249,0.2127135000191629,0.5,1.5,5.5208986250218,9.308505874825642,6,10.296181709039956,15.309624457964674,1.5,4567,1,yes,yes,no,0,2,left,2026-01-08_12h18.58.378,MID1.1,None,
,,4567,1,0,Thu Jan  8 12:19:21 2026,2,loss.low,15.309998249867931,0.23583687492646277,0.5,,15.814287374960259,,,,,,,1,,,,,,,,,,
